	Subsystem	The Hardware Kit	Qty	Est. (CAD)	URL	Notes / Crucial Detail																					
ordered	The Brain	"Yahboom Jetson Orin NANO SUPER (Mini PC Kit)

(SKU: RM-YAHB-03D)"	1	950	https://ca.robotshop.com/products/yahboom-jetson-orin-nano-super-developer-kit-sub-with-8gb-ram-based-on-nvidia-core-module-ai-deep-learningmini-pc-kit?qd=1086769082351d5596463896d60ba9f9	The core unit. Includes the 8GB module, carrier board, pre-flashed 256GB SSD, aluminum case, and DC power supply.																					
ordered	The Muscle	Storm32 2-Axis Pre-Assembled Gimbal	1	97	https://www.aliexpress.com/item/1005009427242021.html?src=google	Ensure it arrives pre-tuned for basic camera weights. Mounts directly to your base post.																					
ordered	The Scout	OV9281-110 Mono Camera for Raspberry Pi, Global Shutter, 1MP - NOT COMPATIBLE	1	46	https://ca.robotshop.com/products/ov9281-110-mono-camera-for-raspberry-pi-global-shutter-1mp?variant=42412094226583	NOT COMPATIBLE - Essential for 120FPS motion tracking without motion blur. Plugs into MIPI Port 0.																					
ordered	The New Scout	Arducam for Raspberry Pi Noir Camera Module, 8MP IMX219 RPi-CAM-V2 Night Vision for Raspberry Pi 5, 4B, 3B+, 3B, 2B, Pi Zero & W : Amazon.ca: Electronics	1	60	https://www.amazon.ca/dp/B09YHPB3NY?ref=ppx_yo2ov_dt_b_fed_asin_title																						
ordered	The Verifier	Arducam NOIR 8MP Sony IMX219 Camera Module w/ Motorized IR Cut Filter	1	58	https://ca.robotshop.com/products/arducam-noir-8mp-sony-imx219-camera-module-motorized-ir-cut-filter?qd=7353a0ea1f0c2817f6942ef7e5772f4d	Features the mechanical IR-cut toggle for perfect daytime color and elite night vision. Plugs into MIPI Port 1.																					
ordered	The Link	chenyang 2 Pack HDMI to CSI Raspberry PI Camera Module Expansion Adapter with Flat Ribbon Flex Cable 5cm	1	37	https://www.amazon.ca/Raspberry-Camera-Module-Cable-PES001/dp/B081YV9PF7/ref=sr_1_12?crid=2ES4JYL13J18F&dib=eyJ2IjoiMSJ9.AJl4RfBULnA5EtAOQS2pn-tJ0pKsQ7Vu-IWv9UaITfhyC9TXOP5BSLtRX1TGuHpTn2TPejiwy24eAbkHETt0UxbZ3hLgbNBmO8wDWr3xcZ1CVglnqpPrn8O452bDDaKF3Xl9cLVB0DAiMlPLoU3DDLehxvAlsnGzzkclh0dOj-BpYnhg5jIr3lSoGq-EBstKAHo7HpzP5Iyfoq5Hqy3T4qTrUE9nYMqklnUYvfHex-H2ZsDwiGaG7YC1LJFHDNH2NbvHy4NQWeoAdyPlQkT9zgcL8L5dQlL8aCAqX5ZBRRU.NE3b4r6rZZG4XQRkCrSdaGfl6IVmCWnYaZdaD0AloA0&dib_tag=se&keywords=FPV+HDMI+Ribbon+Cable+Dual+Standard+Female&qid=1778821294&sprefix=fpv+hdmi+ribbon+cable+dual+standard+female%2Caps%2C102&sr=8-12	Provides necessary slack for gimbal rotation so the ribbon cables do not snap during the "Death Spiral".																					
ordered	Adapter	15 to 22 pin adapter 	2	8	https://ca.robotshop.com/products/raspberry-pi-5-official-standard-camera-cable-300mm?qd=ea31b40b6bac1708cbc6cefa1555e4b7																						
ordered	wires	40 Pin Dual Female Splittable Jumper Wire (30cm)	2	3	https://ca.robotshop.com/products/40-pin-dual-female-splittable-jumper-wire-30cm?qd=42bb5fa3510c3e2c2d462291595b765d																						
ordered	wires	2-Conductor Wire Red/Black (16 ft) - RobotShop	1	8	https://ca.robotshop.com/products/2-conductor-wire-red-black-16-ft?qd=b5c098a1eb1aec914b41c0f06c321b1b	2-Conductor Wire Red/Black (16 ft) - RobotShop																					
ordered	wires	WH-02 Wiring Harness with Wall Pack Connector - RobotShop	2	8	https://ca.robotshop.com/products/gog-wh-02-wiring-harness-wall-pack-connector?qd=acc138549910740db5c334b52c7fc61f	WH-02 Wiring Harness with Wall Pack Connector - RobotShop																					
